launch_id,name,status,window_start,window_end,provider,launch_site_name,launch_site_location,orbit
9fbf5cff-3198-455e-af3e-e88240d92925,Long March 3B/E | WHG-01,Launch Successful,2024-02-29T12:53:00Z,2024-02-29T13:23:00Z,China Aerospace Science and Technology Corporation,Launch Complex 2 (LC-2),"Xichang Satellite Launch Center, People's Republic of China","{'id': 2, 'name': 'Geostationary Transfer Orbit', 'abbrev': 'GTO'}"
a9388d6a-a9cb-440c-8dc8-647a77833fe1,Falcon 9 Block 5 | Starlink Group 6-40,Launch Successful,2024-02-29T15:30:00Z,2024-02-29T17:30:00Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
2f101902-03dd-4b23-8546-d25ea514b36f,Falcon 9 Block 5 | Crew-8,Launch Successful,2024-03-04T03:53:38Z,2024-03-04T03:53:38Z,SpaceX,Launch Complex 39A,"Kennedy Space Center, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
2f10c861-8c07-4af1-8873-cdba6d2566ba,Falcon 9 Block 5 | Transporter 10 (Dedicated SSO Rideshare),Launch Successful,2024-03-04T22:05:00Z,2024-03-04T22:05:00Z,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO'}"
42b2c850-ecee-4ec9-8496-cc304f4353f5,Falcon 9 Block 5 | Starlink Group 6-41,Launch Successful,2024-03-04T23:56:00Z,2024-03-05T03:54:00Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
ed3aa4cd-ebd2-4871-a541-968a1b08afb1,Falcon 9 Block 5 | Starlink Group 6-43,Launch Successful,2024-03-10T23:05:00Z,2024-03-11T03:03:00Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
8b703f3e-2758-466b-a899-7c1b463c2f31,Falcon 9 Block 5 | Starlink Group 7-17,Launch Successful,2024-03-11T02:13:00Z,2024-03-11T06:13:00Z,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
c16c61fb-fd2c-482b-8904-bc3db306d747,Electron | Owl Night Long (StriX-3),Launch Successful,2024-03-12T14:00:00Z,2024-03-12T15:15:00Z,Rocket Lab,Rocket Lab Launch Complex 1B,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO'}"
9633c43d-c951-4e6d-be7a-dadd74f99734,KAIROS | Maiden Flight,Launch Failure,2024-03-13T02:01:12Z,2024-03-13T02:17:12Z,Space One,Space One Launch Pad,"Spaceport Kii, Japan","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO'}"
85235d3c-55c8-494c-9fcc-03037b4158a9,Long March 2C/YZ-1S | DRO-A/B,Launch was a Partial Failure,2024-03-13T12:39:00Z,2024-03-13T12:59:00Z,China Aerospace Science and Technology Corporation,Launch Complex 3 (LC-3/LA-1),"Xichang Satellite Launch Center, People's Republic of China","{'id': 11, 'name': 'Lunar Orbit', 'abbrev': 'LO'}"
c0d90c60-4961-470a-a6d7-804b3bf4b012,Starship | Integrated Flight Test 3,Launch Successful,2024-03-14T12:00:00Z,2024-03-14T13:50:00Z,SpaceX,Orbital Launch Mount A,"SpaceX Starbase, TX, USA","{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub'}"
827fac66-147f-4afc-9489-1b1d736ee989,Falcon 9 Block 5 | Starlink Group 6-44,Launch Successful,2024-03-15T22:39:00Z,2024-03-16T02:39:00Z,SpaceX,Launch Complex 39A,"Kennedy Space Center, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
2323baef-19f9-45fc-bc3d-3d34f7821f82,Falcon 9 Block 5 | Starlink Group 7-16,Launch Successful,2024-03-19T02:28:00Z,2024-03-19T06:10:00Z,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
aed6a40f-012e-4b97-b701-d7a8c73edcfd,Long March 8 | Queqiao-2,Launch Successful,2024-03-20T00:21:00Z,2024-03-20T02:16:00Z,China Aerospace Science and Technology Corporation,201,"Wenchang Space Launch Site, People's Republic of China","{'id': 11, 'name': 'Lunar Orbit', 'abbrev': 'LO'}"
38a33be3-8000-4789-9ea5-659945a6d259,Long March 2D/YZ-3 | Yunhai-2 Group 02,Launch Successful,2024-03-21T05:19:00Z,2024-03-21T05:52:00Z,China Aerospace Science and Technology Corporation,Launch Area 4 (SLS-2 / 603),"Jiuquan Satellite Launch Center, People's Republic of China","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
7f854a08-ea51-4470-9b80-84fb2252c9fe,Electron | Live and Let Fly (NROL-123),Launch Successful,2024-03-21T05:30:00Z,2024-03-21T07:25:00Z,Rocket Lab,Rocket Lab Launch Complex 2 (Launch Area 0 C),"Wallops Flight Facility, Virginia, USA","{'id': 25, 'name': 'Unknown', 'abbrev': 'N/A'}"
604e4aa8-73f8-4f1c-bf4c-5a130625cac7,Falcon 9 Block 5 | Dragon CRS-2 SpX-30,Launch Successful,2024-03-21T20:55:09Z,2024-03-21T20:55:09Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
96ac7396-cba9-4548-b574-3a65fd6aa4ac,Soyuz 2.1a | Soyuz MS-25,Launch Successful,2024-03-23T12:36:10Z,2024-03-23T12:36:10Z,Russian Federal Space Agency (ROSCOSMOS),31/6,"Baikonur Cosmodrome, Republic of Kazakhstan","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
e7b297d1-3312-4264-b802-f9d6ea11b3b2,Falcon 9 Block 5 | Starlink Group 6-42,Launch Successful,2024-03-23T23:29:00Z,2024-03-24T03:29:00Z,SpaceX,Launch Complex 39A,"Kennedy Space Center, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
5acc8f72-bde2-4466-b64e-f580bc71ae2f,Falcon 9 Block 5 | Starlink Group 6-46,Launch Successful,2024-03-25T21:52:00Z,2024-03-26T01:00:00Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
e260c584-2b55-4b6b-a8b9-b9a9848312e4,Long March 6A | Yunhai 3-02,Launch Successful,2024-03-26T22:42:00Z,2024-03-26T23:36:00Z,China Aerospace Science and Technology Corporation,Launch Complex 9A,"Taiyuan Satellite Launch Center, People's Republic of China","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO'}"
