neo_id,name,is_potentially_hazardous,close_approach_date,relative_velocity_km_s,miss_distance_km,orbiting_body,estimated_diameter_min_km,estimated_diameter_max_km
54420156,(2024 AW3),False,2024-Jan-12 08:59,20.8701158538,19419727.264849478,Earth,0.1181829909,0.2642652014
54421916,(2024 BF2),False,2024-Jan-12 00:43,7.5410216162,11219167.972132007,Earth,0.0194336768,0.0434550225
2430804,430804 (2005 AD13),True,2024-Jan-14 22:45,29.0073806068,20388991.117825347,Earth,0.7023522477,1.57050737
2456946,456946 (2008 AF32),False,2024-Jan-14 04:04,15.4778719676,38618382.193284605,Earth,0.1453968429,0.3251172245
3591722,(2011 YJ28),True,2024-Jan-14 16:26,14.2395096415,20141228.786067704,Earth,0.1447288051,0.3236234466
3655395,(2013 YM2),False,2024-Jan-14 03:56,9.8596336581,28231576.500556432,Earth,0.0192555078,0.0430566244
3741440,(2016 CL18),False,2024-Jan-14 04:55,14.6687669813,13597914.457853641,Earth,0.0435065831,0.0972836774
3831897,(2018 UM1),False,2024-Jan-14 20:10,6.6929907938,51695393.471926597,Earth,0.0497227313,0.1111834072
3836709,(2018 XC),False,2024-Jan-14 10:01,12.7104710087,47704272.870582752,Earth,0.0192555078,0.0430566244
3840783,(2019 GE1),False,2024-Jan-14 14:25,5.8690665704,33397350.737141379,Earth,0.0105816886,0.023661375
3869336,(2019 SF6),False,2024-Jan-14 09:03,6.4990046832,55358538.859597499,Earth,0.014878357,0.0332690178
54145781,(2021 KB),False,2024-Jan-14 01:50,18.1726671553,27918436.817892667,Earth,0.0166170902,0.0371569432
54312818,(2022 SL49),False,2024-Jan-14 05:33,12.2682294818,58705504.780765597,Earth,0.0712122941,0.1592355304
54354331,(2023 GM1),False,2024-Jan-14 17:30,6.5113340417,42856113.312545815,Earth,0.0092588058,0.0207033192
54407117,(2023 WT1),False,2024-Jan-14 20:01,10.0020439259,19684446.335654177,Earth,0.0872077289,0.19500241
54419125,(2024 AY),False,2024-Jan-14 17:30,3.0513785038,25913941.328161491,Earth,0.0353634784,0.0790751417
54419810,(2024 AF3),False,2024-Jan-14 16:21,6.7371196513,3363542.412349188,Earth,0.0107784169,0.0241012728
54419811,(2024 AG3),False,2024-Jan-14 18:18,9.7945457908,1698374.116339526,Earth,0.007772397,0.0173796081
54420280,(2024 AZ3),False,2024-Jan-14 20:23,10.0188698314,248883.478034571,Earth,0.0046618144,0.0104241338
54420784,(2024 AQ4),False,2024-Jan-14 00:04,9.7942646898,1245350.80608272,Earth,0.0187307418,0.0418832119
54421067,(2024 BE),False,2024-Jan-14 00:33,11.365264868,10624155.653698928,Earth,0.0413575665,0.0924783301
54421076,(2024 BK),False,2024-Jan-14 17:34,15.4591652716,3310172.579357977,Earth,0.0303777061,0.0679266159
54421642,(2024 BO1),False,2024-Jan-14 18:00,15.6349900254,21310976.164684925,Earth,0.0242412481,0.0542050786
54421649,(2024 BV1),False,2024-Jan-14 10:06,11.5483679096,3174463.330729416,Earth,0.0096062741,0.021480282
54422165,(2024 BV2),False,2024-Jan-14 23:41,5.310223291,3877364.06222886,Earth,0.007772397,0.0173796081
54425754,(2024 CT1),False,2024-Jan-14 22:45,12.1032984097,26565413.483429779,Earth,0.0900647767,0.2013909631
2168318,168318 (1989 DA),True,2024-Jan-08 04:17,8.8851478203,17607387.097578032,Earth,0.439091446,0.9818383215
3102728,(2002 AY1),True,2024-Jan-08 18:11,17.3391696439,5803016.373182669,Earth,0.1797028549,0.4018277992
3553148,(2010 XB11),False,2024-Jan-08 05:42,23.0496832506,38275992.746123978,Earth,0.3009920165,0.6730386097
3599868,(2012 DN31),False,2024-Jan-08 02:10,20.2701167347,65568666.23654168,Earth,0.0421264611,0.0941976306
3781448,(2017 RJ15),False,2024-Jan-08 05:57,11.8586254221,43416265.078689386,Earth,0.1133848361,0.2535362011
3798020,(2018 BW5),False,2024-Jan-08 01:08,0.5304383801,55417734.736756499,Earth,0.1024601475,0.2291078547
3825490,(2018 MH7),False,2024-Jan-08 05:02,8.303806334,37444684.278995785,Earth,0.0160160338,0.0358129403
3836410,(2018 WA2),False,2024-Jan-08 03:35,9.5541519137,12430132.615730776,Earth,0.0806408277,0.1803183724
3873324,(2019 TY),False,2024-Jan-08 16:11,17.7873971073,43448783.64640447,Earth,0.0722029558,0.1614507173
