Company Name,Link to Company Wikipedia page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue (Billions USD),Net Income (Billions USD),Number of Employees,Market Cap (Billions USD),CEO,Founder(s),Founded (Year)
Johnson & Johnson,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey","Pharmaceutical, Medical Technology",85.16,35.15,134400,,Joaquin Duato,Robert Wood Johnson IJames Wood JohnsonEdward Mead Johnson,1886
Johnson Controls,https://en.wikipedia.org/wiki/Johnson_Controls,Industrials,Building Products,"Cork, Ireland",Conglomerate,22.9,1.71,94000,,CEO),Warren S. Johnson,1885
JPMorgan Chase,https://en.wikipedia.org/wiki/JPMorgan_Chase,Financials,Diversified Banks,"New York City, New York",Financial services,158.1,49.55,309926,,Jamie Dimon,,2000
Juniper Networks,https://en.wikipedia.org/wiki/Juniper_Networks,Information Technology,Communications Equipment,"Sunnyvale, California",Networking hardware,5.56,0.31,11144,,Rami Rahim,Pradeep Sindhu,1996
Kellanova,https://en.wikipedia.org/wiki/Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",Food processing,13.1,0.951,23000,,Steven Cahillane,Will Keith Kellogg,1906
Kenvue,https://en.wikipedia.org/wiki/Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",Consumer products,15.44,1.664,22000,,Thibaut Mongon,,2022
Keurig Dr Pepper,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts","Beverage, Appliance manufacturing",11.618,,27500,,Tim Cofer,Robert Stiller[2],1981
KeyCorp,https://en.wikipedia.org/wiki/KeyCorp,Financials,Regional Banks,"Cleveland, Ohio","Banking, Investment banking, Financial services",10.4,0.967,17333,,Chris Gorman,,1994
Keysight Technologies,https://en.wikipedia.org/wiki/Keysight_Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",Electronics,5.46,1.06,14900,,Ron Nersesian,,2014
Kimberly-Clark,https://en.wikipedia.org/wiki/Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas","Consumer goods, Manufacturing, Personal care",20.43,1.764,41000,,Michael D. Hsu,John A. KimberlyHavilah BabcockCharles B. ClarkFranklyn C. Shattuck,1872
Kimco Realty,https://en.wikipedia.org/wiki/Kimco_Realty,Real Estate,Retail REITs,"Jericho, New York",Real estate investment trust,1.044,0.975,484,,CEOGlenn G. Cohen,Milton CooperMartin Kimmel,1958
Kinder Morgan,https://en.wikipedia.org/wiki/Kinder_Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",Oil and gas,16.61,1.78,10529,,Richard Kinder,Richard D. KinderWilliam V. Morgan,1997
KKR,https://en.wikipedia.org/wiki/Kohlberg_Kravis_Roberts,Financials,Asset Management & Custody Banks,"New York City, New York",Financial services:Private equity(1976–present)Investment banking(2004–present),14.5,5.357,4490,,Henry R. Kravis,Henry KravisGeorge R. RobertsJerome Kohlberg Jr.,1976
KLA Corporation,https://en.wikipedia.org/wiki/KLA_Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",Semiconductors,9.81,2.76,15000,,Robert Calderoni,,1997
Kraft Heinz,https://en.wikipedia.org/wiki/Kraft_Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",Food,26.64,2.846,36000,,Carlos Abrams-Rivera,,2015
Kroger,https://en.wikipedia.org/wiki/Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",Retail,150.0,2.307,414000,,Rodney McMullen,Bernard Kroger,1883
L3Harris,https://en.wikipedia.org/wiki/L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",Aerospace and defense,19.4,1.2,50000,,Chris Kubasik,,2019
LabCorp,https://en.wikipedia.org/wiki/LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",Health care,12.2,0.418,67000,,Adam H. Schechter,Matthew Benger,1978
Lam Research,https://en.wikipedia.org/wiki/Lam_Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",Semiconductors,14.9,3.83,17450,,Tim Archer,David K. Lam,1980
Lamb Weston,https://en.wikipedia.org/wiki/Lamb_Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",Food processing,6.47,0.726,10700,,,,1950
Las Vegas Sands,https://en.wikipedia.org/wiki/Las_Vegas_Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada","Hospitality, Tourism, Integrated Resorts",10.4,1.43,38700,,Robert G. Goldstein,Sheldon G. Adelson,1988
Leidos,https://en.wikipedia.org/wiki/Leidos,Industrials,Diversified Support Services,"Reston, Virginia","National security, defense, healthcare, engineering",15.4,0.208,47000,,Thomas Bell,"J. Robert ""Bob"" Beyster",1969
Lennar,https://en.wikipedia.org/wiki/Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",Home construction,34.23,3.938,12284,,Stuart Miller,Leonard MillerArnold Rosen,1954
Lilly (Eli),https://en.wikipedia.org/wiki/Eli_Lilly_and_Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",Pharmaceutical,34.12,5.24,43000,,& CEO),Eli Lilly,1876
