Company Name,Link to Company Wikipedia page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue (Billions USD),Net Income (Billions USD),Number of Employees,Market Cap (Billions USD),CEO,Founder(s),Founded (Year)
Packaging Corporation of America,https://en.wikipedia.org/wiki/Packaging_Corporation_of_America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",Packaging and containers,,,15500,,Mark W. Kowlzan,,1959
Palantir Technologies,https://en.wikipedia.org/wiki/Palantir_Technologies,Information Technology,Internet Services & Infrastructure,"Denver, Colorado",Software,2.23,0.217,3735,,Alex Karp,Peter ThielStephen CohenAlex KarpJoe Lonsdale,2003
Palo Alto Networks,https://en.wikipedia.org/wiki/Palo_Alto_Networks,Information Technology,Systems Software,"Santa Clara, California","Network security, Cybersecurity[1]Cloud computing[2]",8.03,2.58,15289,,Nikesh Arora,Nir Zuk,2005
Paramount Global,https://en.wikipedia.org/wiki/Paramount_Global,Communication Services,Movies & Entertainment,"New York City, New York","Media, Entertainment",90.65,0.608,21900,,,,2019
Parker Hannifin,https://en.wikipedia.org/wiki/Parker_Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",Manufacturing,19.9,2.84,61120,,Jennifer A. Parmentier,Arthur L. Parker,1917
Paychex,https://en.wikipedia.org/wiki/Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York","Business process outsourcing, Human capital management",5.278,1.69,16500,,B. Thomas Golisano,B. Thomas Golisano,1971
Paycom,https://en.wikipedia.org/wiki/Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma","Software Saa, S HCM",1.66,0.341,7300,,Chad Richison,Chad Richison,1998
PayPal,https://en.wikipedia.org/wiki/PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",Financial technology,29.77,4.246,27200,,John Donahoe,Ken HoweryMax LevchinLuke NosekYu PanPeter ThielElon MuskHarris FrickerChristopher PayneEd Ho,1998
Pentair,https://en.wikipedia.org/wiki/Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",Water & Fluid Solutions  Valves & Controls  Technical Solutions  Water Treatment Solutions,3.8,,11250,,John L. Stauch,,1966
PepsiCo,https://en.wikipedia.org/wiki/PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York","Beverages, Food processing",91.47,9.16,318000,,Ramon Laguarta,Caleb Bradham (for the Pepsi-Cola Company branch),1898
Pfizer,https://en.wikipedia.org/wiki/Pfizer,Health Care,Pharmaceuticals,"New York City, New York","Pharmaceutical, Biotechnology",58.5,2.12,88000,,Albert Bourla,Charles PfizerCharles F. Erhart,1849
PG&E Corporation,https://en.wikipedia.org/wiki/PG%26E,Utilities,Multi-Utilities,"Oakland, California","Electricity, Natural gas",24.43,2.24,28000,,PG&E Corporation:Robert Flexon,,1905
Philip Morris International,https://en.wikipedia.org/wiki/Philip_Morris_International,Consumer Staples,Tobacco,"New York City, New York",Tobacco,35.174,7.813,82700,,Jacek Olczak,Philip Morris,2008
Phillips 66,https://en.wikipedia.org/wiki/Phillips_66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",Oil and gas,149.9,7.015,14000,,Mark Lashier,L.E. PhillipsFrank Phillips,1927
Pinnacle West,https://en.wikipedia.org/wiki/Pinnacle_West,Utilities,Multi-Utilities,"Phoenix, Arizona",Electric utilities,3.565,0.508,6292,,Jeffrey B. Guldner,,1985
PNC Financial Services,https://en.wikipedia.org/wiki/PNC_Financial_Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania","Banking, Investment banking, Financial services",21.1,6.1,59426,,William S. Demchak,,1845
Pool Corporation,https://en.wikipedia.org/wiki/Pool_Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",Swimming pools,5.541,0.523,6000,,President and CEOJohn E. Stokely,Frank St. Romain,1980
PPG Industries,https://en.wikipedia.org/wiki/PPG_Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",Chemicals,17.652,1.026,52000,,Tim Knavish,John Baptiste FordJohn Pitcairn Jr.,1883
PPL Corporation,https://en.wikipedia.org/wiki/PPL_Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",Electric utilities,7.9,0.756,6500,,,,1920
Principal Financial Group,https://en.wikipedia.org/wiki/Principal_Financial_Group,Financials,Life & Health Insurance,"Des Moines, Iowa","Insurance, Financial Services",14.263,1.711,18600,,Daniel Houston,Edward Temple,1879
Procter & Gamble,https://en.wikipedia.org/wiki/Procter_%26_Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio","Consumer goods, Household products",84.04,14.88,108000,,David S. Taylor,William ProcterJames Gamble,1837
Progressive Corporation,https://en.wikipedia.org/wiki/Progressive_Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",Insurance,49.61,0.7215,55100,,Lawton W. Fitt,,1937
Prologis,https://en.wikipedia.org/wiki/Prologis,Real Estate,Industrial REITs,"San Francisco, California",Real estate,8.02,3.05,2574,,Hamid Moghadam,Hamid MoghadamDoug AbbeyT. Robert Burke,1983
Prudential Financial,https://en.wikipedia.org/wiki/Prudential_Financial,Financials,Life & Health Insurance,"Newark, New Jersey",Financial services,53.98,2.508,40658,,Charles Lowrey,John F. Dryden,1875
Public Service Enterprise Group,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group,Utilities,Electric Utilities,"Newark, New Jersey",Utilities,10.076,1.693,12945,,CEO) Daniel Cregg,,1903
PTC Inc.,https://en.wikipedia.org/wiki/PTC_(software_company),Information Technology,Application Software,"Boston, Massachusetts",CAD/CAM/CAE/ PLM Software/ ALM/ SLM/ IOT,2.3,0.376,7501,,CEO),,1985
Public Storage,https://en.wikipedia.org/wiki/Public_Storage,Real Estate,Self-Storage REITs,"Glendale, California",Real estate investment trustself storage,4.52,2.16,6200,,Jr.,B. Wayne HughesKenneth Volk Jr.,1972
PulteGroup,https://en.wikipedia.org/wiki/PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",Home construction,13.927,1.93,6182,,CEO & PresidentJohn Chadwick,Bill Pulte,1950
Qorvo,https://en.wikipedia.org/wiki/Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina","Wireless handsets, base station, broadband communications, military, foundry",3.77,0.07,8700,,Robert Bruggeworth,,2015
Quanta Services,https://en.wikipedia.org/wiki/Quanta_Services,Industrials,Construction & Engineering,"Houston, Texas",,29.94,,40000,,Earl C. Austin Jr.,,1997
Qualcomm,https://en.wikipedia.org/wiki/Qualcomm,Information Technology,Semiconductors,"San Diego, California","Telecoms equipments, Semiconductors",38.96,10.14,49000,,Cristiano Amon,Irwin JacobsAndrew ViterbiFranklin Antonio,1985
Quest Diagnostics,https://en.wikipedia.org/wiki/Quest_Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",Health care,9.25,0.854,48000,,Jim Davis,Paul Brown,1967
Ralph Lauren Corporation,https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",Fashion,6.63,0.646,23400,,Patrice Louvet,Ralph Lauren,1967
Raymond James Financial,https://en.wikipedia.org/wiki/Raymond_James_Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",Investment services,14.92,2.063,19000,,Paul Reilly,Robert James,1962
RTX Corporation,https://en.wikipedia.org/wiki/RTX_Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts","Aerospace, Defense, Information Security, Electronics",68.92,3.2,185000,,Christopher T. Calio,"Vannevar BushLaurence K. MarshallCharles G. Smith (as American Appliance Company, later Raytheon in 1922)Frederick Rentschler (as United Technologies in 1934)",2020
Realty Income,https://en.wikipedia.org/wiki/Realty_Income,Real Estate,Retail REITs,"San Diego, California",Real estate investment trust,4.079,0.8723,418,,CEOJonathan Pong,"William E. Clark, Jr.Evelyn J. Clark",1969
Regency Centers,https://en.wikipedia.org/wiki/Regency_Centers,Real Estate,Retail REITs,"Jacksonville, Florida",Real estate investment trust,1.133,0.239,450,,Martin E.,,1963
Regeneron Pharmaceuticals,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York","Pharmaceuticals, Biotech",13.12,3.95,13450,,Leonard Schleifer,Leonard SchleiferGeorge Yancopoulos,1988
Regions Financial Corporation,https://en.wikipedia.org/wiki/Regions_Financial_Corporation,Financials,Regional Banks,"Birmingham, Alabama",Financial services,7.531,2.146,20073,,CEODavid J. Turner,,1971
Republic Services,https://en.wikipedia.org/wiki/Republic_Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",Waste management,13.511299999999999,1.4875999999999998,40000,,,,1998
ResMed,https://en.wikipedia.org/wiki/ResMed,Health Care,Health Care Equipment,"San Diego, California",Medical,4.69,1.02,9980,,"Michael ""Mick"" Farrell",Peter C. Farrell,1989
Revvity,https://en.wikipedia.org/wiki/Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",Biotechnology,2.7,,11000,,Prahlad Singh,,2023
Rockwell Automation,https://en.wikipedia.org/wiki/Rockwell_Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,8.26,0.953,27000,,Blake Moret,,1903
"Rollins, Inc.","https://en.wikipedia.org/wiki/Rollins,_Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",Pest control Conglomerate,2.695,,19031,,CEO,,1948
Roper Technologies,https://en.wikipedia.org/wiki/Roper_Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",Conglomerate,6.18,1.38,16800,,Neil Hunn,,1890
Ross Stores,https://en.wikipedia.org/wiki/Ross_Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",Retail,14.89,1.02,88100,,Barbara Rentler,Morris RossBill Isackson,
Royal Caribbean Group,https://en.wikipedia.org/wiki/Royal_Caribbean_Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida","Hospitality, Travel, Tourism",13.9,1.704,107700,,Jason Liberty,Arne Wilhelmsen,1997
S&P Global,https://en.wikipedia.org/wiki/S%26P_Global,Financials,Financial Exchanges & Data,"New York City, New York",Financial services,12.5,2.63,40450,,Douglas L. Peterson,James H. McGrawJohn A. Hill,1917
Salesforce,https://en.wikipedia.org/wiki/Salesforce,Information Technology,Application Software,"San Francisco, California","Cloud computing, Enterprise software, Consulting",34.86,4.136,72682,,Marc Benioff,Marc BenioffParker HarrisDave MoellenhoffFrank Dominguez,1999
SBA Communications,https://en.wikipedia.org/wiki/SBA_Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",Real Estate Investment Trust,,,,,,,
Schlumberger,https://en.wikipedia.org/wiki/Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",Oilfield services and equipment,33.14,4.203,111000,,Olivier Le Peuch,Conrad SchlumbergerMarcel Schlumberger,1926
Seagate Technology,https://en.wikipedia.org/wiki/Seagate_Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",Computer storage,6.55,0.335,30000,,Michael R. Cannon,Alan ShugartTom MitchellDoug MahonFinis ConnerSyed Iftikar,1979
Sempra,https://en.wikipedia.org/wiki/Sempra,Utilities,Multi-Utilities,"San Diego, California",Utilities,16.7,3.6,20000,,Jeffrey W. Martin,,1998
ServiceNow,https://en.wikipedia.org/wiki/ServiceNow,Information Technology,Systems Software,"Santa Clara, California",Enterprise software,8.97,1.73,22668,,Bill McDermott,Fred LuddyDavid LooDon GoodliffeBow RuggeriPatrick Casey,2003
Sherwin-Williams,https://en.wikipedia.org/wiki/Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",Chemicals,23.05,2.39,64088,,John G. Morikis,Henry SherwinEdward Williams,1866
Simon Property Group,https://en.wikipedia.org/wiki/Simon_Property_Group,Real Estate,Retail REITs,"Indianapolis, Indiana",Real estate investment trust,5.66,2.28,3000,,David E. Simon,Melvin SimonHerbert Simon,1993
Skyworks Solutions,https://en.wikipedia.org/wiki/Skyworks_Solutions,Information Technology,Semiconductors,"Irvine, California",Semiconductors,4.18,0.596,10100,,president & CEO),,2002
J.M. Smucker Company (The),https://en.wikipedia.org/wiki/The_J.M._Smucker_Company,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio","Food, Beverage",8.18,0.744,9000,,and CEO),Jerome Monroe Smucker,1897
Smurfit WestRock,https://en.wikipedia.org/wiki/Smurfit_WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",Packaging,11.272,0.759,100000,,Anthony Smurfit,,1934
Snap-on,https://en.wikipedia.org/wiki/Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",Manufacturing,4.73,1.01,13200,,Nicholas T. Pinchuk,Joseph JohnsonBill Seidemann,1920
Solventum,https://en.wikipedia.org/wiki/Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",Health care,8.2,1.3,22000,,Bryan Hanson,,2023
Southern Company,https://en.wikipedia.org/wiki/Southern_Company,Utilities,Electric Utilities,"Atlanta, Georgia","Energy, Telecommunications",29.3,3.52,27700,,& CEO)Daniel,,1945
Southwest Airlines,https://en.wikipedia.org/wiki/Southwest_Airlines,Industrials,Passenger Airlines,"Dallas, Texas",,26.1,0.465,,,Bob Jordan,Herb KelleherRollin King,1967
Stanley Black & Decker,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",Manufacturing,15.78,0.311,50500,,Andrea J. Ayers,Frederick Trent Stanley,1843
Starbucks,https://en.wikipedia.org/wiki/Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",Coffee shop,36.18,3.761,361000,,Brian Niccol,"Jerry Baldwin, Zev Siegl, Gordon Bowker",1971
State Street Corporation,https://en.wikipedia.org/wiki/State_Street_Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts","Financial services, Investment management",11.95,1.944,46000,,Ronald P. O’Hanley,,
Steel Dynamics,https://en.wikipedia.org/wiki/Steel_Dynamics,Materials,Steel,"Fort Wayne, Indiana",Metals,22.261,3.863,12060,,Mark D. Millett,,1993
Steris,https://en.wikipedia.org/wiki/Steris,Health Care,Health Care Equipment,"Dublin, Ireland",Medical devices,5.14,0.378,18179,,Daniel A. Carestio,,1985
Stryker Corporation,https://en.wikipedia.org/wiki/Stryker_Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",Medical technology,20.5,3.17,52000,,Kevin A. Lobo,Homer Stryker,1941
Supermicro,https://en.wikipedia.org/wiki/Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",Information technology,7.12,0.64,5126,,president and CEO)David Weigand,Charles LiangSara Liu,1993
Synchrony Financial,https://en.wikipedia.org/wiki/Synchrony_Financial,Financials,Consumer Finance,"Stamford, Connecticut",Financial services,14.8,4.21,16500,,Margaret M. Keane,,2003
Synopsys,https://en.wikipedia.org/wiki/Synopsys,Information Technology,Application Software,"Sunnyvale, California","Integrated circuit, Software as a service, Software Testing, Internet of Things",5.84,1.22,20300,,Sassine Ghazi,Aart de GeusDavid GregoryBill Krieger,1986
Sysco,https://en.wikipedia.org/wiki/Sysco,Consumer Staples,Food Distributors,"Houston, Texas",Wholesale,78.8,1.96,76000,,Kevin Hourican,Herbert IrvingJohn F. BaughHarry Rosenthal,1969
T-Mobile US,https://en.wikipedia.org/wiki/T-Mobile_US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",Telecommunications,78.6,8.3,67000,,Timotheus Höttges,John W. Stanton,1994
T. Rowe Price,https://en.wikipedia.org/wiki/T._Rowe_Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",Investment Management,6.46,1.79,7868,,president & CEO)Jen Dardis,Thomas Rowe Price Jr.,1937
Take-Two Interactive,https://en.wikipedia.org/wiki/Take-Two_Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",Video games,5.349,3.74,12371,,Strauss Zelnick,Ryan Brant,1993
"Tapestry, Inc.","https://en.wikipedia.org/wiki/Tapestry,_Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",Fashionaccessories,6.67,0.816,18600,,Joanne Crevoiserat,,2000
Targa Resources,https://en.wikipedia.org/wiki/Targa_Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",,,,2430,,Matthew J. Meloy,,2005
Target Corporation,https://en.wikipedia.org/wiki/Target_Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",Retail,107.4,4.138,415000,,Brian C. Cornell,"George Dayton (corporation)Douglas Dayton, John Geisse (store)",1902
TE Connectivity,https://en.wikipedia.org/wiki/TE_Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",electronics industry,15.85,3.193,87000,,Terrence Curtin,,2007
Teledyne Technologies,https://en.wikipedia.org/wiki/Teledyne_Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",Conglomerate,5.64,0.887,14900,,Robert Mehrabian,Henry SingletonGeorge KozmetskyArthur Rock,1960
Teleflex,https://en.wikipedia.org/wiki/Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",medical device manufacturing,2.448,,15000,,Benson F. Smith,,1943
Teradyne,https://en.wikipedia.org/wiki/Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",Test & Automation,2.68,0.449,6500,,,Alex d'ArbeloffNick DeWolf,1960
"Tesla, Inc.","https://en.wikipedia.org/wiki/Tesla,_Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas","Automotive, Renewable energy",96.8,15.0,140473,,Robyn Denholm,Martin EberhardMarc Tarpenning(See § Founding),2003
Texas Instruments,https://en.wikipedia.org/wiki/Texas_Instruments,Information Technology,Semiconductors,"Dallas, Texas",Semiconductors,17.52,6.51,34000,,CEO)[2]Ahmad Bahai,Cecil H. GreenJ. Erik JonssonEugene McDermottPatrick E. Haggerty,1930
Texas Pacific Land Corporation,https://en.wikipedia.org/wiki/Texas_Pacific_Land_Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas","Forestry, Real estate",0.6316,0.4056,99,,Tyler Glover,,1888
Textron,https://en.wikipedia.org/wiki/Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island","Aerospace, Automotive, Defense",13.7,0.921,35000,,Scott C. Donnelly,Royal Little,1923
Thermo Fisher Scientific,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",Laboratory equipmentbiotechnologypharmaceuticalhealthcare,42.86,5.955,122000,,president & CEO)Michel Lagarde,,1956
TJX Companies,https://en.wikipedia.org/wiki/TJX_Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",Retail,54.22,4.474,349000,,CEO),Bernard Cammarata,1987
Tractor Supply,https://en.wikipedia.org/wiki/Tractor_Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",Retail,14.6,1.11,50000,,Hal Lawton,Charles Schmidt,1938
Trane Technologies,https://en.wikipedia.org/wiki/Trane_Technologies,Industrials,Building Products,"Dublin, Ireland",Equipment manufacturing,17.68,2.024,40000,,president & CEO),,1871
TransDigm Group,https://en.wikipedia.org/wiki/TransDigm_Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",Aerospace components,6.585,1.299,15500,,Kevin Stein,W. Nicholas HowleyDouglas W. Peacock,1993
Travelers Companies (The),https://en.wikipedia.org/wiki/The_Travelers_Companies,Financials,Property & Casualty Insurance,"New York City, New York","Insurance, Financial services",41.36,2.991,33300,,Alan D. Schnitzer,,1853
Trimble Inc.,https://en.wikipedia.org/wiki/Trimble_Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado","Geospatial, Construction, Agriculture, Transportation and Logistics, Telecommunications, Asset tracking, Mapping, Utilities, Mobile Resource Management, Government, RFID",3.8,0.311,12700,,Robert Painter,Charles Trimble et al.,1978
Truist Financial,https://en.wikipedia.org/wiki/Truist_Financial,Financials,Diversified Banks,"Charlotte, North Carolina",Financial services,33.25,1.05,40000,,William H. Rogers Jr.,,2019
Tyler Technologies,https://en.wikipedia.org/wiki/Tyler_Technologies,Information Technology,Application Software,"Plano, Texas",Software,1.85,0.164,1,,CEO & President,Joseph F. McKinney,1966
Tyson Foods,https://en.wikipedia.org/wiki/Tyson_Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",Food processing,53.3,0.8,138000,,John H. Tyson,John W. Tyson,1935
U.S. Bancorp,https://en.wikipedia.org/wiki/U.S._Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",Financial services,28.144,5.429,77000,,President and CEO),,1863
Uber,https://en.wikipedia.org/wiki/Uber,Industrials,Passenger Ground Transportation,"San Francisco, California","Transportation, Mobility as a service",37.281,1.887,30400,,Ronald Sugar,Garrett CampTravis Kalanick,2009
"UDR, Inc.","https://en.wikipedia.org/wiki/UDR,_Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",Real estate investment trust,1.241,0.06,1271,,CEO & PresidentJoseph D. Fisher CFO,,1972
Ulta Beauty,https://en.wikipedia.org/wiki/Ulta_Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",,11.2,1.29,56000,,Dave Kimbell,Terry HansonDick George,1990
Union Pacific Corporation,https://en.wikipedia.org/wiki/Union_Pacific_Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",Transportation,24.1,6.4,31490,,Jim Vena,,1969
United Airlines Holdings,https://en.wikipedia.org/wiki/United_Airlines_Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",Aviation,53.7,2.6,103300,,Ted Philip,,1968
United Parcel Service,https://en.wikipedia.org/wiki/United_Parcel_Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",Courier,90.96,6.708,500000,,Carol B. Tomé,James E. Casey,1907
United Rentals,https://en.wikipedia.org/wiki/United_Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",,14.332,2.424,24700,,Michael J. Kneeland,,1997
UnitedHealth Group,https://en.wikipedia.org/wiki/UnitedHealth_Group,Health Care,Managed Health Care,"Minnetonka, Minnesota","Managed healthcare, Insurance",371.6,23.14,440000,,Stephen J. Hemsley,Richard T. Burke,1974
Universal Health Services,https://en.wikipedia.org/wiki/Universal_Health_Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",,,,96700,,Alan B. Miller,,1979
Valero Energy,https://en.wikipedia.org/wiki/Valero_Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",Oil and gas,144.8,8.835,9908,,Lane Riggs,William Greehey,1980
Ventas,https://en.wikipedia.org/wiki/Ventas_(company),Real Estate,Health Care REITs,"Chicago, Illinois","Real estate investment trust, Health care",3.8,0.433,500,,Chairman and CEO,,1998
Veralto,https://en.wikipedia.org/wiki/Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",Conglomerate,23.9,4.76,63000,,Steven Rales,Steven RalesMitchell Rales,1969
Verisign,https://en.wikipedia.org/wiki/Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia","Internet, communications",1.49,0.818,908,,James Bidzos,James Bidzos,1995
Verisk Analytics,https://en.wikipedia.org/wiki/Verisk_Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",Data analytics and risk assessment,2.82,0.7778999999999999,7500,,Lee Shavel,,1971
Verizon,https://en.wikipedia.org/wiki/Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York","Telecommunications, Mass media",133.97,12.095,105400,,Hans Vestberg,,1983
Vertex Pharmaceuticals,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts","Pharmaceuticals, Biotherapeutics",9.87,3.62,5400,,Reshma Kewalramani,,1989
Viatris,https://en.wikipedia.org/wiki/Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania","Pharmaceuticals, Healthcare",15.39,0.054700000000000006,38000,,Scott A. Smith,,2020
Vici Properties,https://en.wikipedia.org/wiki/Vici_Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",Real estate investment trust,3.61,2.55,28,,Edward B. Pitoniak,,2017
Visa Inc.,https://en.wikipedia.org/wiki/Visa_Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",Payment cards services,35.93,19.74,31600,,Ryan McInerney,Dee Hock,1958
Vistra Corp.,https://en.wikipedia.org/wiki/Vistra_Corp,Utilities,Electric Utilities,"Irving, Texas",Energy and Power Generation,11.4,,4870,,Jim Burke,,2016
Vulcan Materials Company,https://en.wikipedia.org/wiki/Vulcan_Materials_Company,Materials,Construction Materials,"Birmingham, Alabama",Construction materials,7.315,,12000,,,,1909
W. R. Berkley Corporation,https://en.wikipedia.org/wiki/W._R._Berkley_Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",Insurance,11.166,1.318,7448,,President & CEO,William R. Berkley,1967
W. W. Grainger,https://en.wikipedia.org/wiki/W._W._Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",Industrial supply distribution,16.48,1.9,26000,,D.G. Macpherson,William Wallace Grainger,1927
Wabtec,https://en.wikipedia.org/wiki/Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",Rail industry,9.68,0.641,27000,,Albert J. Neupaver,,1999
Walgreens Boots Alliance,https://en.wikipedia.org/wiki/Walgreens_Boots_Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",Retail and pharmaceuticals,147.7,8.64,312000,,Tim Wentworth,,2014
Walmart,https://en.wikipedia.org/wiki/Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",Retail,648.12,16.27,2100000,,CEO),"Sam Walton, Bud Walton",1962
Walt Disney Company (The),https://en.wikipedia.org/wiki/The_Walt_Disney_Company,Communication Services,Movies & Entertainment,"Burbank, California","Media, entertainment",91.361,4.972,225000,,Bob Iger,"Walt Disney, Roy O. Disney",1923
Warner Bros. Discovery,https://en.wikipedia.org/wiki/Warner_Bros._Discovery,Communication Services,Broadcasting,"New York City, New York","Media, Entertainment",41.32,3.13,34300,,Samuel DiPiazza,,2022
Waste Management,"https://en.wikipedia.org/wiki/Waste_Management,_Inc.",Industrials,Environmental & Facilities Services,"Houston, Texas",Waste management,20.426,2.304,48000,,Jr.,Wayne HuizengaDean Buntrock,1968
Waters Corporation,https://en.wikipedia.org/wiki/Waters_Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",Life sciences,2.96,0.642,7900,,Flemming Ørnskov,James Logan Waters,1958
WEC Energy Group,https://en.wikipedia.org/wiki/WEC_Energy_Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",Diversified utilities,7.65,,8000,,CEO,,1896
Wells Fargo,https://en.wikipedia.org/wiki/Wells_Fargo,Financials,Diversified Banks,"San Francisco, California",Financial services,73.8,13.2,238698,,Steven Black,Henry WellsWilliam Fargo (Wells Fargo Bank),1929
Welltower,https://en.wikipedia.org/wiki/Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",Real estate investment trust,4.742,0.374,464,,CEO,,1970
West Pharmaceutical Services,https://en.wikipedia.org/wiki/West_Pharmaceutical_Services,Health Care,Health Care Supplies,"Exton, Pennsylvania","Medical devices, Pharmaceuticals",1.8499,0.2417,8200,,Eric M. Green,,1923
Western Digital,https://en.wikipedia.org/wiki/Western_Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",Computer storage,12.3,1.7,53000,,David Goeckeler,Alvin B. Phillips,1970
Weyerhaeuser,https://en.wikipedia.org/wiki/Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",Real estate investment trust,10.18,1.88,9214,,Devin Stockfish,Friedrich Weyerhäuser,1900
